model,train_alpha,score_type,mean_score,std_score,q95,q99
Improved GAT (Country-Only),0.0,population_error,10.588981628417969,1.759842038154602,14.011919975280762,15.268529891967773
Improved GAT (Country-Only),0.0,combined_score,6.67828369140625,1.0588372945785522,8.71569538116455,9.4010591506958
Improved GAT (Country-Only),0.0,country_score,0.812235951423645,0.33570411801338196,0.9993733167648315,0.9998956322669983
AnomalyDetector GCN,0.6,population_error,1.1787456274032593,0.8907355070114136,2.9233758449554443,4.144616603851318
AnomalyDetector GCN,0.6,combined_score,1.0379273891448975,0.5657100081443787,2.125662088394165,2.8590712547302246
AnomalyDetector GCN,0.6,country_score,0.8266997933387756,0.21899564564228058,0.9991418719291687,0.9999753832817078
Baseline GCN,0.6,population_error,1.1771864891052246,0.8217272162437439,2.757201671600342,3.6711132526397705
Baseline GCN,0.6,combined_score,1.0180424451828003,0.5309635996818542,2.041121482849121,2.5750012397766113
Baseline GCN,0.6,country_score,0.7793262004852295,0.24847371876239777,0.9985893964767456,0.9999980926513672
Improved GAT,0.6,population_error,0.756680428981781,0.802121102809906,2.4648396968841553,3.7738254070281982
Improved GAT,0.6,combined_score,0.7230249643325806,0.5206288695335388,1.7736159563064575,2.580016851425171
Improved GAT,0.6,country_score,0.6725417971611023,0.31286028027534485,0.9989508986473083,0.9999250769615173
Improved GAT (Pop-Only),1.0,population_error,0.7426468729972839,0.8481884598731995,2.5397253036499023,3.6795384883880615
Improved GAT (Pop-Only),1.0,combined_score,0.8437013030052185,0.5089130997657776,1.9219484329223633,2.6058366298675537
Improved GAT (Pop-Only),1.0,country_score,0.9952830672264099,1.6362108112843998e-07,0.9952832460403442,0.995283305644989
