model,train_alpha,score_type,mean_score,std_score,q95,q99
Baseline GCN (Ref),0.5,combined_score,1.044862151145935,0.5650072693824768,2.165572166442871,2.7392420768737793
Baseline GCN (Ref),0.5,population_error,1.1973350048065186,0.8932920694351196,2.9590468406677246,3.9192721843719482
Baseline GCN (Ref),0.5,country_score,0.8161530494689941,0.23784056305885315,0.9994802474975586,0.999988317489624
AnomalyDetector GCN (Ref),0.5,combined_score,1.058302640914917,0.5864055156707764,2.1535744667053223,3.016829013824463
AnomalyDetector GCN (Ref),0.5,population_error,1.2163434028625488,0.9306713342666626,2.9442501068115234,4.489117622375488
AnomalyDetector GCN (Ref),0.5,country_score,0.8212413191795349,0.2298768013715744,0.9994357228279114,0.9999507069587708
GAT_h16_l2_head1_a0.1,0.1,combined_score,0.785885751247406,0.5600494146347046,1.9079216718673706,2.69999623298645
GAT_h16_l2_head1_a0.1,0.1,population_error,0.8450453281402588,0.8777176737785339,2.599735975265503,3.9452009201049805
GAT_h16_l2_head1_a0.1,0.1,country_score,0.697146475315094,0.3004329204559326,0.9988577961921692,0.9998900890350342
GAT_h16_l2_head1_a0.3,0.3,combined_score,0.7729659676551819,0.5506874322891235,1.9918853044509888,2.6083922386169434
GAT_h16_l2_head1_a0.3,0.3,population_error,0.8106701970100403,0.8675451278686523,2.726541519165039,3.7735955715179443
GAT_h16_l2_head1_a0.3,0.3,country_score,0.7164096832275391,0.28823769092559814,0.99894118309021,0.9999046325683594
GAT_h16_l2_head1_a0.5,0.5,combined_score,0.8252155780792236,0.5503472089767456,2.092705726623535,2.525637149810791
GAT_h16_l2_head1_a0.5,0.5,population_error,0.8205556273460388,0.8848540186882019,2.843291759490967,3.6115825176239014
GAT_h16_l2_head1_a0.5,0.5,country_score,0.8322054743766785,0.1808938980102539,0.9989798069000244,0.9996881484985352
GAT_h16_l2_head1_a0.7,0.7,combined_score,1.0953559875488281,0.5968627333641052,2.3018569946289062,2.82832932472229
GAT_h16_l2_head1_a0.7,0.7,population_error,1.2198405265808105,0.9762214422225952,3.178933620452881,4.113063335418701
GAT_h16_l2_head1_a0.7,0.7,country_score,0.9086289405822754,0.10426102578639984,0.9987270832061768,0.9995372295379639
GAT_h16_l2_head1_a0.9,0.9,combined_score,1.105273723602295,0.5877112150192261,2.2638139724731445,2.7154765129089355
GAT_h16_l2_head1_a0.9,0.9,population_error,1.2503308057785034,0.9443508982658386,3.139751434326172,3.892819404602051
GAT_h16_l2_head1_a0.9,0.9,country_score,0.8876878619194031,0.15837432444095612,0.9989833831787109,0.9994658827781677
GAT_h16_l2_head2_a0.1,0.1,combined_score,0.8216800689697266,0.5359573364257812,1.9402998685836792,2.547126054763794
GAT_h16_l2_head2_a0.1,0.1,population_error,0.8822466135025024,0.8441866636276245,2.6126623153686523,3.7006280422210693
GAT_h16_l2_head2_a0.1,0.1,country_score,0.7308304309844971,0.2749548852443695,0.9985190629959106,0.9997644424438477
GAT_h16_l2_head2_a0.3,0.3,combined_score,0.7615838050842285,0.524725079536438,1.9143528938293457,2.595884323120117
GAT_h16_l2_head2_a0.3,0.3,population_error,0.7846176028251648,0.819430410861969,2.573241710662842,3.734506368637085
GAT_h16_l2_head2_a0.3,0.3,country_score,0.7270331382751465,0.2850126624107361,0.9988411068916321,0.999802827835083
GAT_h16_l2_head2_a0.5,0.5,combined_score,0.7422118782997131,0.5295136570930481,1.8738425970077515,2.6479389667510986
GAT_h16_l2_head2_a0.5,0.5,population_error,0.7466568350791931,0.8295041918754578,2.534677743911743,3.803438186645508
GAT_h16_l2_head2_a0.5,0.5,country_score,0.7355443239212036,0.28249630331993103,0.9989926815032959,0.9997624754905701
GAT_h16_l2_head2_a0.7,0.7,combined_score,0.7580698132514954,0.5370243787765503,1.9354544878005981,2.550295114517212
GAT_h16_l2_head2_a0.7,0.7,population_error,0.7516382336616516,0.8402686715126038,2.628345012664795,3.663212537765503
GAT_h16_l2_head2_a0.7,0.7,country_score,0.7677170634269714,0.25759461522102356,0.9989375472068787,0.999681830406189
GAT_h16_l2_head2_a0.9,0.9,combined_score,0.7678686380386353,0.5382203459739685,1.942322015762329,2.713654041290283
GAT_h16_l2_head2_a0.9,0.9,population_error,0.730607271194458,0.8546933531761169,2.6027278900146484,3.893745183944702
GAT_h16_l2_head2_a0.9,0.9,country_score,0.8237605094909668,0.214446023106575,0.9984265565872192,0.999178946018219
GAT_h16_l2_head4_a0.1,0.1,combined_score,0.7885420918464661,0.5467096567153931,1.9004913568496704,2.6531026363372803
GAT_h16_l2_head4_a0.1,0.1,population_error,0.851746678352356,0.8538402318954468,2.5685384273529053,3.8090858459472656
GAT_h16_l2_head4_a0.1,0.1,country_score,0.693734884262085,0.2980418801307678,0.9985605478286743,0.999859631061554
GAT_h16_l2_head4_a0.3,0.3,combined_score,0.788144588470459,0.5269478559494019,1.9360331296920776,2.583845615386963
GAT_h16_l2_head4_a0.3,0.3,population_error,0.8211230039596558,0.8180270195007324,2.6527292728424072,3.7312943935394287
GAT_h16_l2_head4_a0.3,0.3,country_score,0.7386772036552429,0.29857954382896423,0.9988628625869751,0.9998058080673218
GAT_h16_l2_head4_a0.5,0.5,combined_score,0.7701944708824158,0.5324794054031372,1.976678490638733,2.536912441253662
GAT_h16_l2_head4_a0.5,0.5,population_error,0.7996953725814819,0.8305134177207947,2.711923599243164,3.644547462463379
GAT_h16_l2_head4_a0.5,0.5,country_score,0.7259429097175598,0.3019886314868927,0.9986108541488647,0.9998078346252441
GAT_h16_l2_head4_a0.7,0.7,combined_score,5.301875114440918,1.0890192985534668,7.211203575134277,8.075417518615723
GAT_h16_l2_head4_a0.7,0.7,population_error,8.172684669494629,1.8152168989181519,11.35541820526123,12.793328285217285
GAT_h16_l2_head4_a0.7,0.7,country_score,0.9956605434417725,0.0044263871386647224,0.9996616244316101,0.9998754858970642
GAT_h16_l2_head4_a0.9,0.9,combined_score,0.7734659314155579,0.5456077456474304,1.9403358697891235,2.62650465965271
GAT_h16_l2_head4_a0.9,0.9,population_error,0.7294756174087524,0.8707878589630127,2.615201473236084,3.7828586101531982
GAT_h16_l2_head4_a0.9,0.9,country_score,0.8394513726234436,0.19509702920913696,0.9983085989952087,0.9993476867675781
GAT_h16_l3_head1_a0.1,0.1,combined_score,0.9185518622398376,0.5767235159873962,2.053311586380005,2.84653639793396
GAT_h16_l3_head1_a0.1,0.1,population_error,1.037834882736206,0.9056439399719238,2.812433958053589,4.312526226043701
GAT_h16_l3_head1_a0.1,0.1,country_score,0.7396271228790283,0.2992929518222809,0.9989354610443115,0.9998204112052917
GAT_h16_l3_head1_a0.3,0.3,combined_score,0.8622079491615295,0.5732612013816833,2.14338755607605,2.680516481399536
GAT_h16_l3_head1_a0.3,0.3,population_error,0.9302627444267273,0.9091916680335999,2.925976514816284,3.870486259460449
GAT_h16_l3_head1_a0.3,0.3,country_score,0.7601258754730225,0.27195581793785095,0.9990555644035339,0.9997411966323853
GAT_h16_l3_head1_a0.5,0.5,combined_score,0.827578604221344,0.5843872427940369,2.061922311782837,2.633236885070801
GAT_h16_l3_head1_a0.5,0.5,population_error,0.8861033320426941,0.92698734998703,2.8122987747192383,3.8636748790740967
GAT_h16_l3_head1_a0.5,0.5,country_score,0.7397915720939636,0.28438133001327515,0.9989879131317139,0.9996751546859741
