model,train_alpha,score_type,mean_score,std_score,q95,q99
Baseline GCN (Ref),0.6,combined_score,1.0641014575958252,0.5019274353981018,2.0372283458709717,2.492610454559326
Baseline GCN (Ref),0.6,population_error,1.2466105222702026,0.7844144701957703,2.8004915714263916,3.4921631813049316
Baseline GCN (Ref),0.6,country_score,0.7903375625610352,0.26262369751930237,0.9995424747467041,0.999994158744812
AnomalyDetector GCN (Ref),0.6,combined_score,1.0217574834823608,0.5465672016143799,2.027496576309204,2.58493709564209
AnomalyDetector GCN (Ref),0.6,population_error,1.1950544118881226,0.848397970199585,2.8374063968658447,3.645400047302246
AnomalyDetector GCN (Ref),0.6,country_score,0.7618120908737183,0.3020095229148865,0.9994356036186218,0.9999736547470093
Improved GAT (BaseRun),0.6,combined_score,1.4115256071090698,0.6804583072662354,2.7147088050842285,3.520498752593994
Improved GAT (BaseRun),0.6,population_error,1.7025892734527588,1.130424976348877,3.8589868545532227,5.204035758972168
Improved GAT (BaseRun),0.6,country_score,0.9749300479888916,0.1169472485780716,0.9999991059303284,0.9999999403953552
GAT + Anomaly-Guided,0.5,combined_score,0.6699506640434265,0.46556758880615234,1.6956849098205566,2.143076181411743
GAT + Anomaly-Guided,0.5,population_error,0.7907131910324097,0.8397307395935059,2.63516902923584,3.6727123260498047
GAT + Anomaly-Guided,0.5,country_score,0.623350203037262,0.36961305141448975,0.9993568062782288,0.9999053478240967
GAT + Anomaly-Guided,0.5,link_score,0.43794500827789307,0.2745559811592102,0.9134356379508972,0.9624864459037781
Improved GAT (BaseRun) (Pop-Only),1.0,combined_score,0.8575044870376587,0.4966198205947876,1.9001413583755493,2.7120606899261475
Improved GAT (BaseRun) (Pop-Only),1.0,population_error,0.7656520009040833,0.8276997208595276,2.503380060195923,3.856578826904297
Improved GAT (BaseRun) (Pop-Only),1.0,country_score,0.9952830672264099,5.960464477539063e-08,0.9952830076217651,0.9952830076217651
Improved GAT (BaseRun) (Country-Only),0.0,combined_score,6.711820602416992,1.1062135696411133,8.870010375976562,9.545555114746094
Improved GAT (BaseRun) (Country-Only),0.0,population_error,10.525718688964844,1.8435505628585815,14.11826229095459,15.24466609954834
Improved GAT (BaseRun) (Country-Only),0.0,country_score,0.9909729361534119,0.01145945768803358,0.9989372491836548,0.9997773766517639
